,TARGET
170789,1
177922,0
138719,0
43610,0
126506,0
25558,0
47371,0
124780,0
161547,0
191933,0
114251,0
185502,0
123875,0
131252,0
83714,1
188110,1
143737,0
132711,0
37561,0
126850,0
35787,0
46839,1
150130,0
3633,0
123523,0
62103,0
144859,0
111029,0
66246,1
123476,0
111599,0
152018,0
158387,0
76722,1
149372,0
100707,1
109040,0
106895,0
158117,0
17330,0
18905,0
44015,0
109712,0
165528,0
70075,1
114384,0
143205,0
37900,1
55226,0
172396,0
109500,0
6503,0
17548,0
175689,0
152626,1
194312,0
95560,0
76684,0
126793,0
3806,0
76230,0
96361,0
184483,0
51219,0
174288,0
86389,0
24996,0
180615,0
110926,0
172336,0
126015,0
48219,0
3653,0
74946,0
159485,1
62387,0
64738,0
149056,0
74443,0
34558,1
75538,0
192853,0
60365,0
15456,0
140654,0
14028,0
159765,0
48706,1
122277,0
17075,0
3632,0
100329,0
168448,0
75584,0
176140,0
23993,0
24799,0
139998,0
11126,0
111085,0
125771,0
55111,0
131864,0
136543,0
20511,0
85366,0
14862,0
55215,0
90041,0
137609,0
183379,0
179983,0
124746,0
85523,0
142561,0
118534,0
69601,0
98558,0
160006,0
37455,0
179440,0
56287,0
42470,0
10773,0
87705,0
98403,0
94802,0
18796,0
48743,0
37225,0
146025,0
131875,1
183873,0
15567,0
146881,0
34421,0
115544,0
75803,0
44540,0
136465,0
134808,0
15041,0
61505,0
37801,0
133502,0
148881,0
59356,0
153819,0
148896,1
34480,0
28939,1
90823,0
161592,0
28912,0
64266,0
101202,0
69382,0
31950,0
107629,0
189400,0
73858,0
46812,0
133137,0
128155,1
186955,0
61530,0
103262,0
170128,0
134939,0
59298,0
162626,0
187914,0
66725,0
119139,0
10761,0
95895,0
84205,1
89149,1
137078,0
26935,0
159050,0
73985,0
147331,0
36115,0
91600,0
118271,0
167849,0
75185,0
124061,0
131906,0
28756,0
193556,1
98670,0
27468,0
93995,0
115935,1
152279,0
124027,0
121408,0
129145,0
180069,0
143039,0
122334,0
121201,0
92480,1
159434,0
16087,0
32797,0
134769,0
107423,0
57695,0
134813,1
92867,0
88083,0
104798,0
29630,0
45578,0
131611,0
57582,0
22642,0
27283,0
74705,0
63062,1
161321,0
65777,0
121896,0
118465,0
67355,0
125584,0
113135,0
167632,0
57592,0
104459,0
156211,0
183048,0
112361,0
187269,0
187078,0
160771,0
112413,0
156924,0
138658,0
19341,1
4380,0
116669,0
150440,0
81434,0
2664,0
76962,0
150879,0
36219,0
89646,0
15539,0
143524,0
39552,0
141766,0
32891,0
64396,0
29519,1
35391,0
188039,0
66986,0
167511,0
160029,0
29045,1
42239,0
65024,0
119487,0
61441,0
19079,0
97416,0
7776,0
118467,0
81304,0
97591,0
131110,0
78036,0
29769,0
187544,0
69799,0
3836,0
126066,0
179241,0
104433,0
179908,0
124593,0
53787,0
54162,0
112064,0
133147,0
92811,0
93125,0
54195,0
75714,0
181280,1
163627,0
166178,0
5442,0
138332,0
175325,0
114748,0
81281,0
79422,0
170228,0
73013,0
13195,0
174016,0
185106,0
181362,0
18719,0
13141,0
116928,0
154467,0
140516,0
38933,0
104890,0
92755,0
106798,0
63554,0
132959,1
112000,0
130964,0
114802,0
60644,0
141975,1
109340,0
160770,0
168173,0
160913,0
120174,0
13189,0
134232,0
143852,0
193923,1
139164,0
82569,0
190910,0
6518,0
60662,0
65032,0
38912,0
141645,0
191969,0
160568,0
174055,0
64999,0
39847,1
13399,0
18560,0
94318,0
179783,0
105516,0
41865,0
87185,0
81786,0
165879,1
118696,0
52603,0
188642,1
91894,0
119375,0
191699,0
186055,1
146289,0
79271,0
58310,0
169488,0
111157,0
27863,0
143563,0
81557,0
112521,0
193945,0
175458,0
18245,0
160494,0
97670,0
6441,0
149085,0
110573,0
126895,0
81212,0
44491,0
83593,0
44794,0
114301,0
89593,0
174960,0
82585,0
179001,1
171679,0
180139,0
156347,0
86801,0
105778,0
47878,0
96776,0
185036,0
30259,0
50111,0
182256,0
6107,0
90354,0
32384,0
24403,0
57681,0
84541,0
175244,0
35546,0
100388,0
164075,0
54465,0
46902,0
88287,0
5977,0
6011,0
193318,0
108225,0
173080,0
70790,0
10088,0
180623,0
43395,0
159189,1
142051,0
43823,0
190270,1
15583,0
30237,1
27371,0
56694,0
145196,0
138691,0
36735,0
44262,0
127117,0
143510,0
157211,0
156930,0
65497,0
151864,0
67473,0
175338,1
178149,0
68546,0
170777,0
16467,0
168353,1
8719,0
105821,0
26498,0
116385,0
20299,0
114608,0
89421,0
42211,0
97507,0
137655,1
178374,0
132911,0
133180,0
40734,0
194326,0
6667,0
66196,0
163473,0
86631,0
123796,0
156024,0
25985,1
131460,0
23258,0
172415,0
46857,0
82135,0
180531,0
24963,0
268,0
92889,0
109822,0
165301,0
120231,0
113765,0
177962,0
171183,0
187439,0
8628,0
120345,0
125476,0
109967,0
176600,1
40296,1
169798,0
46444,0
140949,0
170191,0
63611,0
59028,0
49412,0
182940,0
60964,0
110918,0
11270,0
70132,0
155604,0
187319,0
70339,0
44084,0
46067,0
137243,0
128017,0
22749,0
86695,0
164170,0
85445,0
191130,0
77460,0
67906,0
95675,0
41814,0
161217,0
96151,0
4648,0
117927,0
63761,0
98001,0
155288,0
122965,0
14197,0
148319,0
156500,0
19429,0
216,0
100346,0
108960,0
115420,0
146705,0
45760,0
155440,0
89863,0
157244,0
3690,0
91881,0
185768,0
97919,0
20579,0
117796,0
51251,0
99933,0
177937,0
179696,0
49896,0
66996,0
68598,0
93511,0
121491,0
153160,0
158939,0
156496,0
99273,0
50619,0
140802,0
10425,0
7822,0
188218,1
7652,0
146985,0
185217,0
138846,0
13439,0
145773,0
65282,0
49449,0
187268,0
106138,0
190747,0
136946,0
101371,0
167094,0
154505,0
163378,0
149031,0
155229,0
27026,0
59620,0
136681,0
127637,0
16235,0
97074,1
4556,0
106630,0
100658,0
191316,0
180311,0
18465,0
183908,0
69948,0
114988,0
180874,0
171678,0
138818,0
175532,0
174755,0
185378,0
133156,0
87790,0
41449,0
143597,1
116554,1
5724,1
54160,0
101724,0
112403,0
173794,0
175486,0
102010,1
12407,0
12400,0
151438,0
156530,0
110759,0
193021,0
70489,0
62541,0
62961,0
104274,0
135459,0
134751,0
188097,0
154184,1
109692,0
22985,0
152054,0
60939,0
131009,1
4754,0
31618,0
155423,1
71719,0
30757,0
14170,0
50436,0
151045,0
13313,0
54121,0
66289,0
137161,0
20615,0
107547,0
8263,0
166883,0
63290,0
159136,0
47028,0
39290,0
169724,1
111676,0
114362,0
86327,0
135973,0
130352,0
71633,0
105082,0
23773,0
157664,0
188104,0
176360,0
12757,0
7970,0
45485,0
173043,0
96171,0
92181,0
101452,0
152986,0
154359,0
35401,1
150841,0
161166,0
29890,0
36743,0
158309,0
9613,0
49813,0
106263,0
106967,0
103087,0
34118,0
8322,0
72744,0
44395,0
65332,0
13793,0
52935,0
133396,0
130772,0
44780,1
172208,0
188503,0
4776,0
137194,0
80441,0
11545,0
151207,0
158461,0
112379,0
116204,0
114955,0
6974,0
2259,0
162617,1
53881,0
181889,0
33268,0
83126,0
141553,0
74955,0
158464,0
103746,0
186743,0
111364,0
69529,0
89645,0
123235,0
53005,0
121482,0
52227,0
672,0
42279,0
36782,0
58108,0
175838,0
84833,0
155056,0
66412,0
42660,0
66542,0
3756,1
9012,1
52185,0
87007,0
158588,0
68331,0
172945,0
142932,0
2864,0
155705,1
4459,0
164819,0
178446,0
55679,0
166978,0
23067,0
42994,0
43368,0
147837,0
29215,0
7086,0
111792,0
21038,0
48235,0
48594,0
31389,0
102955,0
56697,0
162198,0
182549,1
5201,1
164779,0
17448,0
176390,0
148371,0
28403,0
82905,0
130866,0
108678,1
172920,0
90315,0
159686,1
43721,1
79722,0
24236,0
163486,0
172065,0
7863,0
17864,0
137063,0
1294,0
172346,0
138209,0
153472,0
15930,1
155389,1
84579,0
101854,0
122424,0
154394,0
151682,0
84937,0
69589,0
182723,0
84598,0
121708,1
168371,0
13995,0
19411,0
5710,0
114902,0
117433,0
50819,0
70055,0
20198,0
72068,0
161982,0
66684,0
125836,0
142368,0
184983,1
192552,0
93537,1
169109,0
120840,0
7888,0
188205,0
68152,0
45151,0
173270,0
29038,0
46152,0
71956,0
17658,0
150857,0
147655,0
37818,0
67540,0
80899,1
49648,0
39347,0
32008,0
122022,0
147964,0
103437,0
17680,0
49021,0
81183,0
2710,1
80307,0
68573,0
37272,0
101711,0
81641,0
74655,0
104697,0
109894,0
169583,0
81309,1
24400,0
118123,0
80419,0
36279,0
145465,0
71247,0
74765,0
47055,0
191122,0
35581,0
127861,0
164360,1
160572,0
148845,0
189393,0
51962,0
14831,0
51004,0
171168,0
159052,0
165282,0
20445,0
147928,0
147273,0
157304,0
84677,0
42575,0
155583,0
2990,0
51700,0
150917,0
129048,0
154374,1
69885,0
30888,0
146140,0
190891,0
74138,0
185503,0
41109,0
133417,0
108418,0
119154,0
102392,0
94293,0
17668,0
175000,0
49213,0
164493,1
103991,0
78910,0
133367,0
177894,0
53226,0
133575,0
163031,0
75095,0
8275,0
72212,0
87541,0
47918,0
70146,0
181853,0
81318,0
98140,0
7642,0
191650,0
124273,0
9125,0
115534,0
34919,0
189466,0
151832,0
108742,0
103321,0
10506,0
104211,0
95941,0
109885,0
128222,0
185554,0
190878,0
118927,0
178626,0
21376,0
151584,0
113398,1
76573,0
24599,1
134263,0
74630,0
44242,0
87816,0
95466,0
164000,0
103904,0
78816,0
45078,0
173286,0
36030,0
181505,0
150902,0
160742,0
20530,0
96369,0
35333,0
38123,0
20200,0
9860,0
171925,0
156246,0
76586,1
59130,0
42248,0
144401,0
19265,0
80745,0
16867,0
172810,0
1858,0
78625,0
11839,1
125544,0
114219,0
187591,0
78420,0
53926,0
2859,0
59895,0
41844,0
180998,0
111242,0
126176,0
34617,0
171673,0
121269,0
144883,0
75569,0
94045,0
132705,1
60045,0
98220,0
107444,0
92299,0
6867,0
75761,0
130131,0
161764,0
130425,1
38446,0
11385,0
89862,1
95206,0
156872,0
102893,0
32035,0
77377,0
178750,0
77179,0
20307,0
166545,0
136180,0
82698,0
19987,1
173028,0
138510,0
157011,0
69788,0
58528,0
163393,0
167764,0
179573,0
133459,0
164724,0
149945,0
27163,0
4919,0
165951,0
133382,0
43094,0
103470,0
123498,0
50808,0
46621,0
24767,0
24457,0
155054,0
97075,0
37726,0
163013,0
151671,1
124981,0
111385,0
108781,0
41682,0
20987,0
121550,0
153562,0
126654,0
70419,0
141362,0
194645,0
189836,0
152047,0
132104,1
63174,0
60041,0
81927,0
70700,0
63425,0
93743,0
15165,0
18393,0
3567,0
145421,0
146181,0
120574,0
96793,0
40243,0
23423,0
86469,0
172351,0
39891,0
164482,0
192157,0
8190,0
150192,0
38621,0
90536,0
169468,0
100431,0
157429,0
66727,0
55472,0
90512,0
43005,0
11892,0
157428,0
140349,0
174967,0
26241,0
22545,0
96092,0
110628,0
86642,0
13018,1
164710,0
175204,0
122202,0
120098,0
45696,0
127283,0
94047,0
115361,0
54335,0
175951,0
150008,0
152193,0
26110,0
40740,0
16471,0
22181,1
40881,0
110725,0
108644,0
111590,0
189431,0
187421,0
171004,0
20629,1
69801,0
180660,0
144904,0
164201,0
189833,0
169051,0
110976,0
171838,1
194018,0
125116,0
100526,0
182875,0
124668,0
185846,0
61141,0
168864,0
56672,0
13807,0
83173,0
168519,0
63889,0
40086,0
183186,0
178863,0
38005,0
165747,1
178815,1
145156,0
69193,0
94396,0
175467,0
130632,0
122045,0
125534,0
15778,0
172388,0
28377,0
172828,0
118250,0
96631,0
47420,0
153948,0
185319,0
71935,0
145606,1
11389,0
37378,0
136140,0
125876,0
137895,0
177519,0
22327,0
177954,0
51463,0
103889,0
169410,0
78333,0
103925,0
143499,0
48140,0
28767,0
143333,0
187525,0
171321,0
98995,0
133889,0
186006,0
49020,0
84804,0
132578,0
150524,0
89702,0
85343,0
98667,0
160855,0
116927,0
55258,0
60612,0
30876,0
98165,1
189893,0
99727,0
988,0
163947,0
107107,0
166498,0
84471,0
8206,0
68069,0
15559,0
163916,0
74628,1
171747,0
86013,0
182321,0
124633,0
60346,0
170885,0
141904,0
106327,0
130276,0
123027,0
108328,0
137011,0
65804,1
46286,0
8659,0
171571,0
55804,0
100569,0
101103,0
88635,0
78758,0
116399,0
2199,0
188189,0
115109,0
125737,0
190415,0
90907,0
133012,0
118810,0
82075,0
175388,0
46658,0
121355,0
179996,0
117721,0
43633,0
155837,0
66128,0
136817,0
150843,0
113325,0
78957,0
120533,0
44891,0
192878,0
75769,0
14149,0
9915,0
112662,1
40049,0
108432,0
80589,0
36698,0
154531,0
76522,0
77817,0
15243,0
175778,0
111509,0
74658,0
22698,1
99980,0
15784,0
21017,0
147569,0
100777,0
140842,0
19610,0
191901,0
122817,0
164917,0
178080,0
87728,0
166890,0
2191,0
181938,0
160643,0
92483,1
117984,0
136508,0
59316,0
154278,0
126758,0
74238,0
14813,0
11231,0
41877,0
23928,0
37280,1
149360,0
52623,0
191730,0
126956,0
87162,0
64545,0
37158,0
157463,0
16693,0
170365,0
58034,0
101439,0
31953,0
6641,1
65348,0
95726,0
85454,0
151784,0
145040,0
54029,0
15813,0
112805,0
123238,1
8613,0
54256,1
34161,0
124989,1
140636,0
894,0
60663,0
72610,0
108393,0
25207,0
162482,0
170650,0
78939,0
5477,0
47408,0
18200,1
117852,1
86964,0
7103,0
114473,0
139249,0
35589,0
165355,0
111758,0
22309,0
151894,0
87769,0
66236,0
147597,0
77848,0
144062,1
4750,0
78874,0
147336,0
98706,0
105877,0
93095,1
97034,0
186703,0
145405,0
16397,1
91920,0
143488,1
86819,0
50201,0
114916,1
190967,0
22628,0
174747,1
156433,0
79257,0
183424,0
140498,0
42576,0
1734,0
64236,0
34679,0
130999,0
192970,0
56748,0
186774,0
159257,0
91002,0
178268,0
144559,0
85786,0
178309,0
1915,0
190115,0
83326,0
175699,0
194123,0
117378,0
10021,0
175626,0
19239,0
130480,0
161238,0
136697,0
74104,0
85298,0
142544,0
118860,0
171703,0
1648,0
76802,0
146130,0
113266,0
59412,0
136184,0
151576,0
19857,0
108974,0
96606,0
136120,0
38473,0
123964,0
174705,0
44755,0
119674,0
185083,0
180247,0
87418,0
132474,1
33210,0
148010,0
55554,1
138558,0
13869,0
44589,0
108520,0
96022,0
180028,0
155882,0
32810,0
56914,1
121140,0
74317,0
5039,0
88168,0
50986,1
181717,0
21106,0
22904,0
100499,0
67322,1
53775,1
30835,0
83558,1
136692,0
73381,0
60344,0
35833,0
28155,0
61811,0
150043,0
61994,0
119612,0
136393,0
66338,0
174964,0
166732,0
25608,0
14593,0
155817,0
117492,0
1813,0
73810,0
58575,0
113252,0
125608,0
190139,0
10537,0
95077,0
62099,0
131887,0
64571,0
150835,1
53466,0
7158,0
156161,0
117861,0
70831,1
54420,0
84983,0
49762,0
83246,0
127366,0
89364,0
165789,1
40662,0
51105,0
55022,0
99830,0
188816,0
188773,0
73527,0
114789,0
70173,0
69355,0
54904,0
132004,0
125595,0
159570,0
141282,0
49147,0
30765,0
141191,0
61455,0
120307,0
79380,0
89621,0
115697,0
99318,0
13789,0
166700,0
185579,0
47414,1
104200,0
188146,0
36033,0
147991,0
55661,0
31394,1
22838,0
180572,0
93697,0
99131,0
161323,0
31430,0
49200,0
95029,0
35139,0
169689,0
177060,0
4050,0
50678,1
73634,0
71713,0
188775,0
23179,0
90979,0
13157,0
78423,0
154164,0
91188,0
123595,0
191102,0
133005,0
15012,0
120641,0
74261,0
79903,0
132954,0
35672,0
95144,0
190268,0
54084,0
158978,0
128794,0
154488,0
157857,0
4568,0
23491,0
84088,0
53779,0
31054,0
180088,0
54528,0
138504,0
192082,0
28599,0
105043,1
87555,0
102134,0
48669,0
51641,0
47560,0
44287,0
65596,0
46466,0
193990,0
132417,0
98901,0
43746,1
60743,0
176105,0
136450,0
156651,0
148154,1
166579,0
87665,0
69370,0
13400,0
135584,0
163444,0
81644,0
157731,0
70979,0
20123,0
175234,0
132384,0
85696,0
28676,0
88253,0
123560,0
97245,0
68626,0
181178,0
40774,0
76279,0
57924,0
101742,0
131707,0
173158,0
150577,0
155519,0
136649,0
120644,0
29235,0
190152,0
9727,0
193420,0
31270,0
26836,0
154863,0
26716,0
129606,0
52177,0
180738,0
144274,0
91231,0
98979,0
146576,0
103724,0
112550,0
177034,0
99266,0
22559,0
67029,0
64174,0
36462,0
140220,0
155358,0
1081,1
170558,0
103295,0
58339,0
